Province,U_R,COICOP,Category_Name,Weight,Weight_pct,Date,CPI_Index,Year,Month,YearMonth,YoY_pct,MoM_pct
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-05-10,115.37032427760852,2018,5,2018-05,8.543910183930748,-2.6497717214238548
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-06-10,115.6899807834032,2018,6,2018-06,8.985610468564209,0.27706995520400124
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-07-10,116.3619766044194,2018,7,2018-07,10.197460218867782,0.58085913444339
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-08-10,116.89252044415313,2018,8,2018-08,10.346095193235726,0.45594261563410843
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-09-10,116.99343652950176,2018,9,2018-09,10.169238219461164,0.08633237179349607
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-10-10,117.30885288046268,2018,10,2018-10,9.919634968092716,0.2696017488821978
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-11-10,118.10040364826915,2018,11,2018-11,9.64722802206619,0.6747579132949655
0,0,07,Transport,772.5927231856721,7.72592723185672,2018-12-10,118.21173183922878,2018,12,2018-12,9.468617231643094,0.09426571588289079
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-01-10,117.10426929281347,2019,1,2019-01,8.40749098098794,-0.9368465626757638
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-02-10,117.06944873292886,2019,2,2019-02,8.372098503349324,-0.029734663044211906
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-03-10,117.2615908882653,2019,3,2019-03,7.331587639207293,0.16412664227605234
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-04-10,117.46710608135974,2019,4,2019-04,-0.8804936291270771,0.17526215663428157
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-05-10,118.3276507544534,2019,5,2019-05,2.563333764867348,0.7325835306589035
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-06-10,118.53839449365134,2019,6,2019-06,2.462109243134014,0.1781018535010448
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-07-10,118.48997153416637,2019,7,2019-07,1.828771727538836,-0.0408500213722407
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-08-10,118.45656985374237,2019,8,2019-08,1.3380235139479835,-0.028189457716576438
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-09-10,118.51448597946231,2019,9,2019-09,1.3001151988359494,0.04889228667641632
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-10-10,118.90679632986894,2019,10,2019-10,1.3621678246522162,0.3310231210677639
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-11-10,119.21767739290868,2019,11,2019-11,0.9460371938837975,0.2614493642375981
0,0,07,Transport,772.5927231856721,7.72592723185672,2019-12-10,119.42856218805262,2019,12,2019-12,1.0293651314395413,0.17689054153346984
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-01-10,119.89690614984576,2020,1,2020-01,2.3847438474249305,0.39215406533630315
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-02-10,119.93527989944242,2020,2,2020-02,2.447975280938919,0.03200562118650385
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-03-10,120.07617052121434,2020,3,2020-03,2.400257076190404,0.11747220825268911
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-04-10,120.07617052121434,2020,4,2020-04,2.221102167995448,0.0
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-05-10,145.7306799024123,2020,5,2020-05,23.158601538387735,21.36519616659951
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-06-10,146.17821257661373,2020,6,2020-06,23.317186132837932,0.30709571553575454
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-07-10,145.55518808286138,2020,7,2020-07,22.841778252002353,-0.42620886024709037
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-08-10,144.74811507705874,2020,8,2020-08,22.19509247632141,-0.5544790374240605
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-09-10,145.46132793819646,2020,9,2020-09,22.737171524672384,0.4927268729945311
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-10-10,132.22843393996212,2020,10,2020-10,11.203428249077163,-9.09719042566195
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-11-10,120.96223900575143,2020,11,2020-11,1.463341386104311,-8.520251354807751
0,0,07,Transport,772.5927231856721,7.72592723185672,2020-12-10,120.76526067183472,2020,12,2020-12,1.1192452285219145,-0.16284283056907656
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-01-10,121.37068850340353,2021,1,2021-01,1.2292079928366562,0.5013261497559096
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-02-10,121.54018065303259,2021,2,2021-02,1.3381389987464631,0.1396483382594571
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-03-10,122.68096976396653,2021,3,2021-03,2.1692890699674505,0.9386106757489632
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-04-10,122.82559230775766,2021,4,2021-04,2.2897314051646633,0.11788506731678083
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-05-10,123.10845288150384,2021,5,2021-05,-15.52331124513885,0.23029449191454
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-06-10,122.68236703089937,2021,6,2021-06,-16.073425123733752,-0.34610608827534417
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-07-10,122.59596525685498,2021,7,2021-07,-15.773551687443954,-0.07042721471344215
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-08-10,123.77104866780141,2021,8,2021-08,-14.492117149912376,0.9585008841722198
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-09-10,123.8462190339643,2021,9,2021-09,-14.859694470420326,0.06073340007375361
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-10-10,124.27467364085365,2021,10,2021-10,-6.015166376938142,0.3459569538992957
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-11-10,124.50563915633343,2021,11,2021-11,2.9293440496033885,0.18585083244495593
0,0,07,Transport,772.5927231856721,7.72592723185672,2021-12-10,125.1468871726314,2021,12,2021-12,3.628217648370935,0.5150353193984936
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-01-10,125.84409710714993,2022,1,2022-01,3.6857404855382025,0.5571132852523863
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-02-10,126.10078604059268,2022,2,2022-02,3.7523437624134237,0.20397375748517632
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-03-10,126.25831268121371,2022,3,2022-03,2.915972154548374,0.1249212202137473
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-04-10,129.49105647532858,2022,4,2022-04,5.426771442607503,2.5604205580325834
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-05-10,130.3673158681964,2022,5,2022-05,5.896315660533458,0.676694913702236
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-06-10,133.46068889570438,2022,6,2022-06,8.785550952151366,2.3728133136033946
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-07-10,134.19697956047673,2022,7,2022-07,9.462802694457428,0.5516910416577758
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-08-10,135.72316325419132,2022,8,2022-08,9.656631914357527,1.1372712699742937
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-09-10,137.74431921214259,2022,9,2022-09,11.222062559993695,1.4891753990186052
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-10-10,137.33089237632547,2022,10,2022-10,10.505936851786469,-0.30014075221526104
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-11-10,137.65190467458058,2022,11,2022-11,10.558771158742664,0.23375097379798593
0,0,07,Transport,772.5927231856721,7.72592723185672,2022-12-10,137.55895532923705,2022,12,2022-12,9.917999909565523,-0.06752492496436835
0,0,07,Transport,772.5927231856721,7.72592723185672,2023-01-10,138.08875575245415,2023,1,2023-01,9.730022247192483,0.3851442619268619
0,0,07,Transport,772.5927231856721,7.72592723185672,2023-02-10,137.88700429625644,2023,2,2023-02,9.346665176115309,-0.14610274029797088
0,0,07,Transport,772.5927231856721,7.72592723185672,2023-03-10,137.92391221121306,2023,3,2023-03,9.23947048100786,0.02676678280524314
0,0,07,Transport,772.5927231856721,7.72592723185672,2023-04-10,137.92299913775327,2023,4,2023-04,6.511602339140077,-0.0006620124423428742
0,0,07,Transport,772.5927231856721,7.72592723185672,2023-05-10,138.14565509763463,2023,5,2023-05,5.966479541008773,0.16143497551048824
0,0,07,Transport,772.5927231856721,7.72592723185672,2023-06-10,138.77636090482162,2023,6,2023-06,3.982949625916654,0.4565513166094437
0,0,07,Transport,772.5927231856721,7.72592723185672,2023-07-10,140.4051636096105,2023,7,2023-07,4.6261727122822505,1.1736888719152905
0,0,07,Transport,772.5927231856721,7.72592723185672,2023-08-10,143.26598090601246,2023,8,2023-08,5.557502102787315,2.0375442204934258
0,0,07,Transport,772.5927231856721,7.72592723185672,2023-09-10,144.14418957804241,2023,9,2023-09,4.646195503745809,0.6129917699067011
