hhid,cpi_code,cpi_category,total_spend_rwf
300496.0,01,Food and non-alcoholic beverages,26550.1
300497.0,01,Food and non-alcoholic beverages,8132.0
300498.0,01,Food and non-alcoholic beverages,62950.0
300500.0,01,Food and non-alcoholic beverages,10600.0
300501.0,01,Food and non-alcoholic beverages,28200.0
300502.0,01,Food and non-alcoholic beverages,48850.0
300503.0,01,Food and non-alcoholic beverages,21104.004
300504.0,01,Food and non-alcoholic beverages,111468.0
300505.0,01,Food and non-alcoholic beverages,108015.0
300506.0,01,Food and non-alcoholic beverages,39650.89
300507.0,01,Food and non-alcoholic beverages,82508.0
300508.0,01,Food and non-alcoholic beverages,89400.0
300509.0,01,Food and non-alcoholic beverages,56125.0
300510.0,01,Food and non-alcoholic beverages,11400.0
300511.0,01,Food and non-alcoholic beverages,2800.0
300512.0,01,Food and non-alcoholic beverages,113950.0
300513.0,01,Food and non-alcoholic beverages,5250.0
300514.0,01,Food and non-alcoholic beverages,77507.6
300515.0,01,Food and non-alcoholic beverages,12357.015
300516.0,01,Food and non-alcoholic beverages,12704.5
300517.0,01,Food and non-alcoholic beverages,33850.0
300518.0,01,Food and non-alcoholic beverages,24150.0
300519.0,01,Food and non-alcoholic beverages,25200.0
300520.0,01,Food and non-alcoholic beverages,29950.0
300521.0,01,Food and non-alcoholic beverages,29652.144
300522.0,01,Food and non-alcoholic beverages,30708.5
300523.0,01,Food and non-alcoholic beverages,2821.965
300524.0,01,Food and non-alcoholic beverages,29140.4
300525.0,01,Food and non-alcoholic beverages,18857.832
300526.0,01,Food and non-alcoholic beverages,16561.506
300527.0,01,Food and non-alcoholic beverages,27000.0
300528.0,01,Food and non-alcoholic beverages,45990.0
300529.0,01,Food and non-alcoholic beverages,52158.25
300530.0,01,Food and non-alcoholic beverages,29952.0
300531.0,01,Food and non-alcoholic beverages,28853.0
300532.0,01,Food and non-alcoholic beverages,11451.4
300533.0,01,Food and non-alcoholic beverages,12421.5
300534.0,01,Food and non-alcoholic beverages,22060.481
300535.0,01,Food and non-alcoholic beverages,4403.38
300536.0,01,Food and non-alcoholic beverages,25801.0
300537.0,01,Food and non-alcoholic beverages,22355.3
300538.0,01,Food and non-alcoholic beverages,10003.0
300539.0,01,Food and non-alcoholic beverages,51500.0
300540.0,01,Food and non-alcoholic beverages,42350.0
300541.0,01,Food and non-alcoholic beverages,68350.0
300542.0,01,Food and non-alcoholic beverages,29350.0
300543.0,01,Food and non-alcoholic beverages,22550.0
300544.0,01,Food and non-alcoholic beverages,35900.1
300545.0,01,Food and non-alcoholic beverages,24500.0
300546.0,01,Food and non-alcoholic beverages,34803.15
300547.0,01,Food and non-alcoholic beverages,9700.0
300548.0,01,Food and non-alcoholic beverages,2400.0
300549.0,01,Food and non-alcoholic beverages,19210.0
300550.0,01,Food and non-alcoholic beverages,22955.0
300551.0,01,Food and non-alcoholic beverages,9450.0
300552.0,01,Food and non-alcoholic beverages,8150.0
300553.0,01,Food and non-alcoholic beverages,7250.0
300554.0,01,Food and non-alcoholic beverages,32390.0
300555.0,01,Food and non-alcoholic beverages,12000.0
300556.0,01,Food and non-alcoholic beverages,25610.0
300557.0,01,Food and non-alcoholic beverages,15350.07
300558.0,01,Food and non-alcoholic beverages,35334.0
300559.0,01,Food and non-alcoholic beverages,27700.0
300560.0,01,Food and non-alcoholic beverages,14250.0
300561.0,01,Food and non-alcoholic beverages,43600.0
300562.0,01,Food and non-alcoholic beverages,74150.0
